name,symbol,YTD,3MO,1YR,3YR,5YR,10YR,Yield,rating,Expense ratio,Mgr tenure,assets,Category
1838 International Equity,INTEX,17.52,21.16,17.52,11.78,,,0,****,1.25,3,52106888.00,International Stocks
59 Wall Street International Equity,FNIEX,16.17,13.06,16.17,,,,0.25,,,1,27474000.00,International Stocks
ABN AMRO International Equity Comm,RIEQX,25.43,22.35,25.43,13.02,11.21,,0.49,****,1.35,1,142858478.00,International Stocks
ABN AMRO International Equity Inv,,24.87,22.33,24.87,12.67,10.9,,0.14,****,1.6,1,1013040.00,International Stocks
Accessor International Equity,ACIEX,16.07,14.45,16.07,13.58,,,0,****,1.55,0,150551215.00,International Stocks
Acorn International,ACINX,15.43,14.08,15.43,11.74,7.9,,0.71,***,1.19,6,1726129086.00,International Stocks
Aetna International I,AEIGX,18.34,14.86,18.34,19.12,12.59,,4.77,****,1.48,3,38887409.00,International Stocks
AIM International Growth Adv,,4.84,17.81,4.84,7.7,,,0.83,***,1.34,2,1217756.00,International Stocks
Alliance International Adv,ALIYX,9.96,15.81,9.96,,,,3.06,,1.47,0,34796757.00,International Stocks
Alliance International Premier Gr Adv,,,21.67,,,,,,,,0,1474209.00,International Stocks
Alliance Worldwide Privatization Adv,AWPYX,9.33,16.35,9.33,,,,1.43,,1.45,,2409360.00,International Stocks
American AAdvantage Intl Equity AMR,AAIAX,12.07,15.3,12.07,13.92,,,2.19,****,0.58,4,512180964.00,International Stocks
American AAdvantage Intl Equity Instl,AAIEX,11.73,15.19,11.73,13.61,11.79,,1.97,****,0.83,7,436052983.00,International Stocks
American AAdvantage Intl Equity Milg,AAEMX,11.12,15.12,11.12,12.91,,,1.34,****,1.48,4,5154725.00,International Stocks
American AAdvantage Intl Equity Plan,AAIPX,11.52,15.15,11.52,13.29,,,1.82,****,1.14,4,47593060.00,International Stocks
American Cent-20th Cent Intl Disc Adv,,,13.68,,,,,,,,0,11210.00,International Stocks
American Cent-20th Cent Intl Disc Is,TIDIX,17.55,13.8,17.55,,,,0,,,0,63104115.00,International Stocks
American Cent-20th Cent Intl Grth Adv,TWGAX,18.86,15.34,18.86,,,,0.05,,1.63,2,23816154.00,International Stocks
American Cent-20th Cent Intl Grth Inv,TWIEX,19.01,15.21,19.01,17.7,11.68,,0.17,****,1.38,5,2640040865.00,International Stocks
American Cent-20th Cent Intl Grth Is,TGRIX,19.27,15.19,19.27,,,,0.38,,1.18,1,14438259.00,International Stocks
Aon International Equity,AIEYX,14.58,17.52,14.58,,,,0.84,,1.4,2,61542675.00,International Stocks
Arch International Equity Instl,,17.45,19.45,17.45,10.6,,,0.44,***,1.44,4,8429722.00,International Stocks
Arch International Equity Tr,ARITX,17.9,19.49,17.9,10.89,,,0.65,***,1.14,4,60504966.00,International Stocks
Armada International Equity Instl,AIEIX,19.98,20.11,19.98,,,,0.48,,,0,175600081.00,International Stocks
Artisan International Intl,ARTIX,32.18,24.86,32.18,22.49,,,0.22,*****,1.45,3,421980000.00,International Stocks
Avatar Advantage Intl Equity Alloc,,,11.87,,,,,,,,0,412591.00,International Stocks
Babson-Stewart Ivory International,BAINX,13.3,16.69,13.3,9.35,8.33,9.99,0.4,****,1.16,10,96586699.00,International Stocks
"Bailard, Biehl & Kaiser Intl Equity",BBIEX,12.01,18.44,12.01,10.51,5.82,4.28,0.87,***,1.44,3,123390428.00,International Stocks
Barr Rosenberg Intl Small Cap Instl,ICSIX,4.12,10.53,4.12,,,,1.05,,1.5,2,41100021.00,International Stocks
Barr Rosenberg Intl Small Cap Sel,,3.64,10.3,3.64,,,,0.71,,1.91,2,2404691.00,International Stocks
BB&T International Tr,BBTIX,11.37,16.09,11.37,,,,0.79,,,1,84213958.00,International Stocks
BEA Intl Equity Instl,RBIEX,20.64,13.66,20.64,15.82,8.24,,1.15,***,1.16,6,687624024.00,International Stocks
Berger/BIAM International,BBINX,14.92,19.38,14.92,,,,4.05,,1.8,2,19623220.00,International Stocks
Berger/BIAM International CORE,BBICX,15.67,19.59,15.67,,,,2.71,,,2,179099805.00,International Stocks
Bernstein International Value,SNIVX,10.95,11.45,10.95,12.51,9.82,,4.98,****,1.27,6,5147500021.00,International Stocks
BlackRock Intl Equity Instl,PNINX,15.45,17.54,15.45,9.65,7.94,,1.67,***,1.06,2,960270601.00,International Stocks
BlackRock Intl Equity Svc,PIESX,15.1,17.46,15.1,9.28,7.44,,1.4,***,1.36,2,142712368.00,International Stocks
BlackRock Intl Small Cap Eq Instl,BISIX,11.12,9.61,11.12,,,,2.24,,,1,17033906.00,International Stocks
BNY Hamilton International Eq Inst,BNUIX,20.84,19.72,20.84,,,,0.13,,,1,169350242.00,International Stocks
Boston 1784 International Equity,SEEQX,12.45,16.75,12.45,8.2,,,0.22,***,1.24,4,446226090.00,International Stocks
Brandes Instl International Equity,BIIEX,14.65,19.28,14.65,,,,1.36,,1.19,2,174376714.00,International Stocks
Brinson Global (Ex-U.S.) Equity I,BNUEX,14.39,17.15,14.39,10.9,9.73,,0.81,****,1,5,487467741.00,International Stocks
Brinson Global (Ex-U.S.) Equity N,,13.96,16.86,13.96,,,,0.76,,,1,13188.00,International Stocks
BT Advisor EAFE Equity Index Instl,BTAEX,19.81,20.05,19.81,,,,2.14,,0.4,2,38358460.00,International Stocks
BT Institutional Intl Eqty I,BEIIX,21.91,17.4,21.91,,,,0.69,,0.95,1,735274125.00,International Stocks
BT Institutional Intl Eqty II,,22.9,17.27,22.9,,,,0.79,,0.75,1,7511164.00,International Stocks
BT Investment International Equity,BTEQX,20.82,17.2,20.82,19.82,15.77,,0.23,*****,1.5,5,1400202775.00,International Stocks
Calvert World Values Intl Equity C,CWVCX,14.92,17.63,14.92,10.32,,,0,***,2.76,4,9366220.00,International Stocks
Chase Vista Select Intl Equity,VSIEX,13.54,15.67,13.54,,,,2.93,,0.07,2,231290132.00,International Stocks
CitiFunds International Growth,CFIPX,17.62,17.79,17.62,8.26,5.81,,0.07,***,1.75,4,20615615.00,International Stocks
CitiFunds Intl Growth & Income,CIGIX,,16.18,,,,,,,,0,17136355.00,International Stocks
Columbia International Stock,CMISX,12.83,21.24,12.83,13.59,8.49,,0.05,***,1.62,6,130141587.00,International Stocks
Commerce International Equity Instl,CFIEX,15.52,17.49,15.52,10.49,,,0.41,***,1.72,1,110643414.00,International Stocks
Consulting Group International Equity,TIEUX,22.61,19.03,22.61,9.34,9.44,,1.26,***,0.97,,1397529000.00,International Stocks
Delaware International Equity Instl,DEQIX,9.35,13.53,9.35,11.32,9.48,,1.83,****,1.4,7,165071943.00,International Stocks
Delaware International Small Cap Inst,,5.83,19,5.83,,,,2.02,,,1,3174874.00,International Stocks
Delaware Overseas Equity Instl,DEWIX,-6.59,8.49,-6.59,1.41,,,8.61,***,1.5,1,61054.00,International Stocks
Delaware Pooled International Equity,DPIEX,10.01,13.7,10.01,11.65,10.26,,2.35,****,0.89,6,648288982.00,International Stocks
Delaware Pooled Labor Select Intl Eq,DELPX,11.9,13.01,11.9,14.83,,,2.23,****,0.92,3,102419354.00,International Stocks
DFA International High Book to Market,DFHBX,14.96,16.96,14.96,6.34,7.83,,2.07,***,0.68,5,1612405655.00,International Stocks
DFA International Small Cap Value,DISVX,5.27,10.22,5.27,-6.35,,,1.99,**,0.9,0,451010000.00,International Stocks
DFA International Small Company,DFISX,8.19,12.39,8.19,,,,1.94,,0.75,2,273990000.00,International Stocks
DFA International Value,DFIVX,14.87,16.96,14.87,6.25,,,1.92,***,0.56,0,435700000.00,International Stocks
DFA International Value II,DIVTX,14.88,17.05,14.88,6.87,,,2.12,***,0.86,0,37310000.00,International Stocks
DFA International Value III,DFVIX,15.09,16.98,15.09,6.45,,,2.21,***,0.45,0,288040000.00,International Stocks
